filename,red_box,blue_box,red_sphere,blue_sphere,None,red_box_dx,red_box_dz,blue_box_dx,blue_box_dz,red_sphere_dx,red_sphere_dz,blue_sphere_dx,blue_sphere_dz,split
img_00007.png,0,0,0,0,1,0,0,0,0,0,0,0,0,train
img_00008.png,0,0,1,1,0,0,0,0,0,2.00000,-5.00000,-1.00000,-2.00000,train
img_00001.png,0,0,0,0,1,0,0,0,0,0,0,0,0,train
img_00005.png,0,0,0,1,0,0,0,0,0,0,0,2.00000,-3.00000,train
img_00003.png,0,0,0,0,1,0,0,0,0,0,0,0,0,train
img_00004.png,0,0,0,1,0,0,0,0,0,0,0,2.00000,-4.00000,train
img_00002.png,0,0,0,0,1,0,0,0,0,0,0,0,0,train
img_00000.png,0,0,0,0,1,0,0,0,0,0,0,0,0,train
img_00009.png,0,0,0,0,1,0,0,0,0,0,0,0,0,test
img_00006.png,0,0,0,0,1,0,0,0,0,0,0,0,0,test
